date,close,adjclose
2023-10-18,18.34,17.8292
2023-10-19,17.85,17.3529
2023-10-20,17.05,16.5703
2023-10-23,17.19,16.7161
2023-10-24,17.68,17.1876
2023-10-25,16.39,15.9287
2023-10-26,15.43,15.0003
2023-10-27,15.65,15.2141
2023-10-30,16.16,15.7051
2023-10-31,16.39,15.9335
2023-11-01,17.24,16.755
2023-11-02,18.15,17.6445
2023-11-03,18.79,18.2667
2023-11-06,19.00,18.4757
2023-11-07,19.54,18.9958
2023-11-08,19.58,19.0298
2023-11-09,19.11,18.5778
2023-11-10,20.39,19.8173
2023-11-13,20.20,19.6374
2023-11-14,21.47,20.8721
2023-11-15,21.53,20.9304
2023-11-16,21.57,20.9644
2023-11-17,21.58,20.979
2023-11-20,22.35,21.7276
2023-11-21,21.94,21.3338
2023-11-22,22.20,21.5817
2023-11-24,22.09,21.4748
2023-11-27,22.02,21.4116
2023-11-28,22.20,21.5817
2023-11-29,22.12,21.504
2023-11-30,21.93,21.3241
2023-12-01,22.12,21.504
2023-12-04,21.49,20.8915
2023-12-05,21.65,21.0422
2023-12-06,21.26,20.6679
2023-12-07,22.15,21.5331
2023-12-08,22.42,21.7907
2023-12-11,22.99,22.3449
2023-12-12,23.54,22.8844
2023-12-13,24.37,23.6913
2023-12-14,24.33,23.6524
2023-12-15,24.62,23.9343
2023-12-18,25.14,24.435
2023-12-19,25.51,24.7995
2023-12-20,24.27,23.6977
2023-12-21,25.08,24.4837
2023-12-22,25.17,24.5813
2023-12-26,25.64,25.0305
2023-12-27,25.77,25.1623
2023-12-28,25.70,25.0988
2023-12-29,25.35,24.7522
2024-01-02,24.07,23.4975
2024-01-03,23.30,22.7456
2024-01-04,22.91,22.3648
2024-01-05,22.99,22.4478
2024-01-08,24.38,23.8002
2024-01-09,24.53,23.9564
2024-01-10,25.02,24.43
2024-01-11,25.14,24.5471
2024-01-12,25.17,24.5764
2024-01-16,25.16,24.5618
2024-01-17,24.72,24.137
2024-01-18,25.78,25.172
2024-01-19,27.27,26.6269
2024-01-22,27.38,26.7343
2024-01-23,27.70,27.0516
2024-01-24,28.16,27.4959
2024-01-25,28.24,27.574
2024-01-26,27.72,27.0663
2024-01-29,28.53,27.8621
2024-01-30,27.97,27.3055
2024-01-31,26.32,25.6993
2024-02-01,27.25,26.6074
2024-02-02,28.62,27.9451
2024-02-05,28.48,27.8035
2024-02-06,28.31,27.6424
2024-02-07,29.16,28.4675
2024-02-08,29.27,28.5846
2024-02-09,30.14,29.4243
2024-02-12,29.78,29.0777
2024-02-13,28.37,27.701
2024-02-14,29.27,28.5797
2024-02-15,29.51,28.819
2024-02-16,28.70,28.0281
2024-02-20,28.04,27.3788
2024-02-21,27.69,27.037
2024-02-22,30.08,29.3755
2024-02-23,29.81,29.107
2024-02-26,29.77,29.0679
2024-02-27,29.95,29.2486
2024-02-28,29.47,28.775
2024-02-29,30.18,29.4683
2024-03-01,31.57,30.8206
