date,close,adjclose
2023-12-15,64.40,64.4
2023-12-18,64.56,64.56
2023-12-19,65.56,65.56
2023-12-20,69.60,69.6
2023-12-21,67.88,67.88
2023-12-22,66.32,66.32
2023-12-26,64.52,64.52
2023-12-27,61.92,61.92
2023-12-28,61.80,61.8
2023-12-29,62.04,62.04
2024-01-02,62.04,62.04
2024-01-03,64.20,64.2
2024-01-04,64.12,64.12
2024-01-05,62.00,62
2024-01-08,60.48,60.48
2024-01-09,59.16,59.16
2024-01-10,58.56,58.56
2024-01-11,58.32,58.32
2024-01-12,59.24,59.24
2024-01-16,61.20,61.2
2024-01-17,63.52,63.52
2024-01-18,61.20,61.2
2024-01-19,59.76,59.76
2024-01-22,57.68,57.68
2024-01-23,56.20,56.2
2024-01-24,57.68,57.68
2024-01-25,58.36,58.36
2024-01-26,57.72,57.72
2024-01-29,58.44,58.44
2024-01-30,57.36,57.36
2024-01-31,60.32,60.32
2024-02-01,59.76,59.76
2024-02-02,59.60,59.6
2024-02-05,57.48,57.48
2024-02-06,56.04,56.04
2024-02-07,55.76,55.76
2024-02-08,55.48,55.48
2024-02-09,56.00,56
2024-02-12,57.00,57
2024-02-13,61.20,61.2
2024-02-14,57.88,57.88
2024-02-15,57.40,57.4
2024-02-16,57.32,57.32
2024-02-20,59.04,59.04
2024-02-21,58.80,58.8
2024-02-22,57.60,57.6
2024-02-23,55.36,55.36
2024-02-26,54.80,54.8
2024-02-27,53.88,53.88
2024-02-28,54.72,54.72
2024-02-29,53.96,53.96
2024-03-01,54.08,54.08
2024-03-04,54.04,54.04
2024-03-05,56.20,56.2
2024-03-06,56.48,56.48
2024-03-07,56.08,56.08
2024-03-08,57.60,57.6
2024-03-11,57.04,57.04
2024-03-12,54.20,54.2
2024-03-13,53.84,53.84
2024-03-14,55.32,55.32
2024-03-15,56.32,56.32
2024-03-18,55.12,55.12
2024-03-19,53.68,53.68
2024-03-20,52.28,52.28
2024-03-21,52.00,52
2024-03-22,52.28,52.28
2024-03-25,51.92,51.92
2024-03-26,51.72,51.72
2024-03-27,50.72,50.72
2024-03-28,51.84,51.84
2024-04-01,52.12,52.12
2024-04-02,53.52,53.52
2024-04-03,53.28,53.28
2024-04-04,55.68,55.68
2024-04-05,56.76,56.76
2024-04-08,54.48,54.48
2024-04-09,54.24,54.24
2024-04-10,55.08,55.08
2024-04-11,54.04,54.04
2024-04-12,58.80,58.8
2024-04-15,62.12,62.12
2024-04-16,60.04,60.04
2024-04-17,59.48,59.48
2024-04-18,60.00,60
2024-04-19,61.44,61.44
2024-04-22,56.80,56.8
2024-04-23,54.48,54.48
2024-04-24,54.00,54
2024-04-25,55.20,55.2
2024-04-26,53.40,53.4
2024-04-29,52.68,52.68
2024-04-30,54.16,54.16
2024-05-01,54.28,54.28
2024-05-02,52.56,52.56
2024-05-03,50.76,50.76
2024-05-06,49.48,49.48
2024-05-07,49.28,49.28
2024-05-08,48.84,48.84
2024-05-09,48.56,48.56
2024-05-10,47.96,47.96
